date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-11,US,NJ_Middlesex_County,-10,2,0,,,,,,
2020-03-12,US,NJ_Middlesex_County,-9,2,0,,,,,,
2020-03-13,US,NJ_Middlesex_County,-8,4,0,,,,,,
2020-03-14,US,NJ_Middlesex_County,-7,8,0,,,,,,
2020-03-15,US,NJ_Middlesex_County,-6,9,0,,,,,,
2020-03-16,US,NJ_Middlesex_County,-5,15,0,,,,,,
2020-03-17,US,NJ_Middlesex_County,-4,20,0,,,,,,
2020-03-18,US,NJ_Middlesex_County,-3,40,0,,,,,,
2020-03-19,US,NJ_Middlesex_County,-2,64,0,,,,,,
2020-03-20,US,NJ_Middlesex_County,-1,76,0,,,,,,
2020-03-21,US,NJ_Middlesex_County,0,116,0,,,,,,
2020-03-22,US,NJ_Middlesex_County,1,147,1,,,,,,
2020-03-23,US,NJ_Middlesex_County,2,210,1,,,,,,
2020-03-24,US,NJ_Middlesex_County,3,277,1,,,,,,
2020-03-25,US,NJ_Middlesex_County,4,316,2,,,,,,
2020-03-26,US,NJ_Middlesex_County,5,505,5,,,,,,
2020-03-27,US,NJ_Middlesex_County,6,640,9,,,,,,
2020-03-28,US,NJ_Middlesex_County,7,808,14,,,,,,
2020-03-29,US,NJ_Middlesex_County,8,938,14,,,,,,
2020-03-30,US,NJ_Middlesex_County,9,1123,20,,,,,,
2020-03-31,US,NJ_Middlesex_County,10,1277,24,,,,,,
2020-04-01,US,NJ_Middlesex_County,11,1493,27,,,,,,
2020-04-02,US,NJ_Middlesex_County,12,1766,48,,,,,,
2020-04-03,US,NJ_Middlesex_County,13,2125,56,,,,,,
2020-04-04,US,NJ_Middlesex_County,14,2578,76,,,,,,
2020-04-05,US,NJ_Middlesex_County,15,2950,80,,,,,,
2020-04-06,US,NJ_Middlesex_County,16,3263,87,,,,,,
2020-04-07,US,NJ_Middlesex_County,17,3717,100,,,,,,
2020-04-08,US,NJ_Middlesex_County,18,4156,139,,,,,,
2020-04-09,US,NJ_Middlesex_County,19,4628,152,,,,,,
2020-04-10,US,NJ_Middlesex_County,20,5060,168,,,,,,
2020-04-11,US,NJ_Middlesex_County,21,5406,177,,,,,,
2020-04-12,US,NJ_Middlesex_County,22,5693,193,,,,,,
2020-04-13,US,NJ_Middlesex_County,23,5987,204,,,,,,
2020-04-14,US,NJ_Middlesex_County,24,6313,216,,,,,,
2020-04-15,US,NJ_Middlesex_County,25,6576,248,,,,,,
2020-04-16,US,NJ_Middlesex_County,26,6994,278,,,,,,
2020-04-17,US,NJ_Middlesex_County,27,7308,309,,,,,,
2020-04-18,US,NJ_Middlesex_County,28,7624,313,,,,,,
2020-04-19,US,NJ_Middlesex_County,29,8017,329,,,,,,
2020-04-20,US,NJ_Middlesex_County,30,8346,345,,,,,,
2020-04-21,US,NJ_Middlesex_County,31,8767,360,,,,,,
2020-04-22,US,NJ_Middlesex_County,32,9047,369,,,,,,
2020-04-23,US,NJ_Middlesex_County,33,9530,396,,,,,,
2020-04-24,US,NJ_Middlesex_County,34,9789,413,,,,,,
2020-04-25,US,NJ_Middlesex_County,35,10075,431,,,,,,
2020-04-26,US,NJ_Middlesex_County,36,10642,442,,,,,,
2020-04-27,US,NJ_Middlesex_County,37,10767,455,,,,,,
2020-04-28,US,NJ_Middlesex_County,38,11102,515,,,,,,
2020-04-29,US,NJ_Middlesex_County,39,11436,531,,,,,,
2020-04-30,US,NJ_Middlesex_County,40,11715,571,,,,,,
2020-05-01,US,NJ_Middlesex_County,41,11947,591,,,,,,
2020-05-02,US,NJ_Middlesex_County,42,12213,618,,,,,,
2020-05-03,US,NJ_Middlesex_County,43,12597,639,,,,,,
2020-05-04,US,NJ_Middlesex_County,44,12768,642,,,,,,
2020-05-05,US,NJ_Middlesex_County,45,13142,667,,,,,,
2020-05-06,US,NJ_Middlesex_County,46,13254,706,,,,,,
2020-05-07,US,NJ_Middlesex_County,47,13411,737,,,,,,
2020-05-08,US,NJ_Middlesex_County,48,13617,748,,,,,,
2020-05-09,US,NJ_Middlesex_County,49,13759,759,,,,,,
2020-05-10,US,NJ_Middlesex_County,50,13937,793,,,,,,
2020-05-11,US,NJ_Middlesex_County,51,14036,794,,,,,,
2020-05-12,US,NJ_Middlesex_County,52,14121,801,,,,,,
2020-05-13,US,NJ_Middlesex_County,53,14241,819,,,,,,
2020-05-14,US,NJ_Middlesex_County,54,14332,841,,,,,,
2020-05-15,US,NJ_Middlesex_County,55,14429,865,,,,,,
2020-05-16,US,NJ_Middlesex_County,56,14514,872,,,,,,
2020-05-17,US,NJ_Middlesex_County,57,14668,884,,,,,,
2020-05-18,US,NJ_Middlesex_County,58,14752,888,,,,,,
2020-05-19,US,NJ_Middlesex_County,59,14834,903,,,,,,
2020-05-20,US,NJ_Middlesex_County,60,14954,913,,,,,,
2020-05-21,US,NJ_Middlesex_County,61,15057,921,,,,,,
2020-05-22,US,NJ_Middlesex_County,62,15165,935,,,,,,
2020-05-23,US,NJ_Middlesex_County,63,15215,942,,,,,,
2020-05-24,US,NJ_Middlesex_County,64,15351,955,,,,,,
2020-05-25,US,NJ_Middlesex_County,65,15437,955,,,,,,
2020-05-26,US,NJ_Middlesex_County,66,15499,959,,,,,,
2020-05-27,US,NJ_Middlesex_County,67,15547,964,,,,,,
2020-05-28,US,NJ_Middlesex_County,68,15633,968,,,,,,
2020-05-29,US,NJ_Middlesex_County,69,15734,972,,,,,,
2020-05-30,US,NJ_Middlesex_County,70,15824,989,,,,,,
2020-05-31,US,NJ_Middlesex_County,71,15921,994,,,,,,
2020-06-01,US,NJ_Middlesex_County,72,15977,996,,,,,,
2020-06-02,US,NJ_Middlesex_County,73,16021,997,,,,,,
2020-06-03,US,NJ_Middlesex_County,74,16066,1004,,,,,,
2020-06-04,US,NJ_Middlesex_County,75,16072,1015,,,,,,
2020-06-05,US,NJ_Middlesex_County,76,16137,1025,,,,,,
2020-06-06,US,NJ_Middlesex_County,77,16203,1032,,,,,,
2020-06-07,US,NJ_Middlesex_County,78,16203,1040,,,,,,
2020-06-08,US,NJ_Middlesex_County,79,16227,1043,,,,,,
2020-06-09,US,NJ_Middlesex_County,80,16251,1053,,,,,,
2020-06-10,US,NJ_Middlesex_County,81,16288,1064,,,,,,
2020-06-11,US,NJ_Middlesex_County,82,16327,1069,,,,,,
2020-06-12,US,NJ_Middlesex_County,83,16353,1070,,,,,,
2020-06-13,US,NJ_Middlesex_County,84,16385,1074,,,,,,
2020-06-14,US,NJ_Middlesex_County,85,16430,1076,,,,,,
2020-06-15,US,NJ_Middlesex_County,86,16458,1083,,,,,,
2020-06-16,US,NJ_Middlesex_County,87,16474,1085,,,,,,
2020-06-17,US,NJ_Middlesex_County,88,16513,1094,,,,,,
2020-06-18,US,NJ_Middlesex_County,89,16547,1094,,,,,,
2020-06-19,US,NJ_Middlesex_County,90,16563,1097,,,,,,
2020-06-20,US,NJ_Middlesex_County,91,16592,1100,,,,,,
2020-06-21,US,NJ_Middlesex_County,92,16605,1101,,,,,,
2020-06-22,US,NJ_Middlesex_County,93,16618,1101,,,,,,
2020-06-23,US,NJ_Middlesex_County,94,16640,1104,,,,,,
