date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-07,US,WV_Fayette_County,-102,1,0,,,,,,
2020-04-08,US,WV_Fayette_County,-101,1,0,,,,,,
2020-04-09,US,WV_Fayette_County,-100,1,0,,,,,,
2020-04-10,US,WV_Fayette_County,-99,1,0,,,,,,
2020-04-11,US,WV_Fayette_County,-98,2,0,,,,,,
2020-04-12,US,WV_Fayette_County,-97,2,0,,,,,,
2020-04-13,US,WV_Fayette_County,-96,2,0,,,,,,
2020-04-14,US,WV_Fayette_County,-95,2,0,,,,,,
2020-04-15,US,WV_Fayette_County,-94,2,0,,,,,,
2020-04-16,US,WV_Fayette_County,-93,2,0,,,,,,
2020-04-17,US,WV_Fayette_County,-92,4,0,,,,,,
2020-04-18,US,WV_Fayette_County,-91,4,0,,,,,,
2020-04-19,US,WV_Fayette_County,-90,5,0,,,,,,
2020-04-20,US,WV_Fayette_County,-89,5,0,,,,,,
2020-04-21,US,WV_Fayette_County,-88,5,0,,,,,,
2020-04-22,US,WV_Fayette_County,-87,5,0,,,,,,
2020-04-23,US,WV_Fayette_County,-86,8,0,,,,,,
2020-04-24,US,WV_Fayette_County,-85,9,0,,,,,,
2020-04-25,US,WV_Fayette_County,-84,9,0,,,,,,
2020-04-26,US,WV_Fayette_County,-83,9,0,,,,,,
2020-04-27,US,WV_Fayette_County,-82,10,0,,,,,,
2020-04-28,US,WV_Fayette_County,-81,12,0,,,,,,
2020-04-29,US,WV_Fayette_County,-80,12,0,,,,,,
2020-04-30,US,WV_Fayette_County,-79,13,0,,,,,,
2020-05-01,US,WV_Fayette_County,-78,14,0,,,,,,
2020-05-02,US,WV_Fayette_County,-77,14,0,,,,,,
2020-05-03,US,WV_Fayette_County,-76,15,0,,,,,,
2020-05-04,US,WV_Fayette_County,-75,16,0,,,,,,
2020-05-05,US,WV_Fayette_County,-74,20,0,,,,,,
2020-05-06,US,WV_Fayette_County,-73,27,0,,,,,,
2020-05-07,US,WV_Fayette_County,-72,27,0,,,,,,
2020-05-08,US,WV_Fayette_County,-71,30,0,,,,,,
2020-05-09,US,WV_Fayette_County,-70,34,0,,,,,,
2020-05-10,US,WV_Fayette_County,-69,35,0,,,,,,
2020-05-11,US,WV_Fayette_County,-68,35,0,,,,,,
2020-05-12,US,WV_Fayette_County,-67,35,0,,,,,,
2020-05-13,US,WV_Fayette_County,-66,36,0,,,,,,
